datetime;camera;fish;effort;swimtype;against
19.01.2020 10:05;south;1;4,001;chaotic;n
04.12.2019 10:05;south;1;4,002;calm;n
17.12.2019 10:05;south;1;4,002;calm;n
13.12.2019 12:05;south;2;4,248;against;j
15.12.2019 12:05;south;3;4,248;calm;n
13.12.2019 10:00;feed;1;4,249;against;j
17.12.2019 10:00;feed;2;4,249;swimming;n
12.01.2020 12:00;feed;3;4,249;chaotic;n
24.01.2020 14:00;feed;1;4,249;against;j
08.02.2020 15:15;in;3;4,249;calm;n
12.01.2020 12:20;north;1;4,249;swimming;n
04.12.2019 14:15;east;4;4,25;calm;n
20.12.2019 10:20;east;2;4,25;swimming;n
20.01.2020 12:20;east;3;4,25;chaotic;n
08.02.2020 09:20;east;2;4,25;swimming;n
13.12.2019 12:00;feed;1;4,25;against;j
17.12.2019 10:00;feed;1;4,25;swimming;n
20.12.2019 14:00;feed;3;4,25;against;j
20.01.2020 12:00;feed;2;4,25;chaotic;n
24.01.2020 12:00;feed;1;4,25;against;j
08.02.2020 12:00;feed;1;4,25;swimming;n
13.12.2019 12:15;in;2;4,25;against;j
06.01.2020 14:15;in;1;4,25;against;j
20.01.2020 14:15;in;1;4,25;against;j
20.01.2020 14:15;in;3;4,25;against;j
13.12.2019 12:20;north;2;4,25;against;j
06.01.2020 10:20;north;2;4,25;against;j
20.12.2019 14:05;south;3;4,25;against;j
07.01.2020 12:05;south;2;4,25;against;j
20.01.2020 14:05;south;1;4,25;against;j
26.01.2020 10:05;south;2;4,25;against;j
17.12.2019 12:20;east;1;4,251;calm;n
19.01.2020 10:00;feed;2;4,251;chaotic;n
20.01.2020 10:15;in;3;4,251;calm;n
05.12.2019 14:05;south;3;4,251;chaotic;n
17.12.2019 14:05;south;2;4,254;against;j
17.12.2019 14:05;south;3;4,255;against;j
13.12.2019 10:20;north;1;4,426;against;j
08.12.2019 10:05;south;1;4,495;against;j
04.12.2019 14:05;south;1;4,497;swimming;n
04.12.2019 14:05;south;2;4,498;swimming;n
13.12.2019 10:20;east;2;4,499;calm;n
12.01.2020 12:00;feed;1;4,499;chaotic;n
17.12.2019 14:15;in;1;4,499;against;j
12.01.2020 14:20;north;1;4,499;chaotic;n
12.01.2020 10:05;south;2;4,499;against;j
06.01.2020 10:20;east;3;4,5;calm;n
20.12.2019 12:00;feed;3;4,5;swimming;n
05.01.2020 10:00;feed;2;4,5;chaotic;n
12.01.2020 10:00;feed;2;4,5;balancing;j
20.01.2020 10:00;feed;1;4,5;against;j
13.12.2019 14:15;in;3;4,5;chaotic;n
15.12.2019 12:15;in;1;4,5;calm;n
17.12.2019 12:15;in;3;4,5;calm;n
20.12.2019 14:15;in;3;4,5;against;j
12.01.2020 12:15;in;1;4,5;balancing;n
24.01.2020 10:15;in;1;4,5;calm;n
24.01.2020 14:15;in;3;4,5;calm;n
12.01.2020 14:20;north;2;4,5;chaotic;n
20.12.2019 12:05;south;1;4,5;balancing;n
12.01.2020 10:05;south;3;4,5;against;j
20.12.2019 14:20;east;1;4,501;swimming;n
05.01.2020 10:20;east;2;4,501;chaotic;n
15.12.2019 10:15;in;1;4,501;against;j
06.01.2020 12:15;in;1;4,501;calm;n
06.01.2020 14:15;in;2;4,501;against;j
12.01.2020 10:15;in;3;4,501;against;j
24.01.2020 10:15;in;2;4,501;calm;n
05.12.2019 12:05;south;3;4,501;chaotic;n
08.12.2019 10:05;south;3;4,501;against;j
12.01.2020 12:20;north;2;4,623;against;j
13.12.2019 12:05;south;1;4,748;against;j
17.12.2019 10:15;in;2;4,749;calm;n
05.12.2019 10:20;north;2;4,749;swimming;n
06.01.2020 10:05;south;3;4,749;calm;n
24.01.2020 12:20;east;1;4,75;against;j
24.01.2020 14:20;east;3;4,75;against;j
08.02.2020 15:00;feed;2;4,75;against;j
13.12.2019 10:15;in;2;4,75;against;j
20.12.2019 12:15;in;2;4,75;against;j
20.12.2019 12:15;in;3;4,75;against;j
05.01.2020 10:15;in;3;4,75;calm;n
13.12.2019 14:05;south;2;4,75;swimming;n
