Hs,Tp,Dp,Tz,T01,T-1,Dm,S0,HsSwell,TpSwell,DpSwell,HsSea,TpSea,DpSea,H13,T13,H10,T10,Hmax,Tmax,datetime,hourly,tenmin
0.133,11.6,180,3.3,3.8,5.9,182,1.12,0.064,11.6,180,0.114,3,197,0.14,5.7,0.173,6.2,0.25,3.5,2019-11-29T06:00:00Z,2019-11-29T06:00:00Z,2019-11-29T06:00:00Z
0.133,11.6,180,3.3,3.8,5.9,182,1.12,0.064,11.6,180,0.114,3,197,0.14,5.7,0.173,6.2,0.25,3.5,2019-11-29T06:05:00Z,2019-11-29T06:00:00Z,2019-11-29T06:00:00Z
0.133,11.6,180,3.3,3.8,5.9,182,1.12,0.064,11.6,180,0.114,3,197,0.14,5.7,0.173,6.2,0.25,3.5,2019-11-29T06:10:00Z,2019-11-29T06:00:00Z,2019-11-29T06:10:00Z
0.133,11.6,180,3.3,3.8,5.9,182,1.12,0.064,11.6,180,0.114,3,197,0.14,5.7,0.173,6.2,0.25,3.5,2019-11-29T06:15:00Z,2019-11-29T06:00:00Z,2019-11-29T06:10:00Z
0.153,11.6,228,4,4.6,6.2,202,1.1,0.073,11.6,228,0.13,6.1,212,0.17,6.1,0.211,6.6,0.304,8.5,2019-11-29T18:00:00Z,2019-11-29T18:00:00Z,2019-11-29T18:00:00Z
0.153,11.6,228,4,4.6,6.2,202,1.1,0.073,11.6,228,0.13,6.1,212,0.17,6.1,0.211,6.6,0.304,8.5,2019-11-29T18:05:00Z,2019-11-29T18:00:00Z,2019-11-29T18:00:00Z
0.153,11.6,228,4,4.6,6.2,202,1.1,0.073,11.6,228,0.13,6.1,212,0.17,6.1,0.211,6.6,0.304,8.5,2019-11-29T18:10:00Z,2019-11-29T18:00:00Z,2019-11-29T18:10:00Z
0.153,11.6,228,4,4.6,6.2,202,1.1,0.073,11.6,228,0.13,6.1,212,0.17,6.1,0.211,6.6,0.304,8.5,2019-11-29T18:15:00Z,2019-11-29T18:00:00Z,2019-11-29T18:10:00Z
0.169,14.2,254,4.1,5,7.5,189,1.09,0.1,14.2,254,0.129,5.6,178,0.184,7.3,0.23,8.1,0.3,13,2019-12-18T20:00:00Z,2019-12-18T20:00:00Z,2019-12-18T20:00:00Z
0.169,14.2,254,4.1,5,7.5,189,1.09,0.1,14.2,254,0.129,5.6,178,0.184,7.3,0.23,8.1,0.3,13,2019-12-18T20:05:00Z,2019-12-18T20:00:00Z,2019-12-18T20:00:00Z
0.169,14.2,254,4.1,5,7.5,189,1.09,0.1,14.2,254,0.129,5.6,178,0.184,7.3,0.23,8.1,0.3,13,2019-12-18T20:10:00Z,2019-12-18T20:00:00Z,2019-12-18T20:10:00Z
0.169,14.2,254,4.1,5,7.5,189,1.09,0.1,14.2,254,0.129,5.6,178,0.184,7.3,0.23,8.1,0.3,13,2019-12-18T20:15:00Z,2019-12-18T20:00:00Z,2019-12-18T20:10:00Z
0.175,11.6,278,4.7,5.8,8.1,263,1.12,0.113,11.6,278,0.122,5.1,194,0.197,8.4,0.238,9.4,0.315,8,2019-12-17T19:00:00Z,2019-12-17T19:00:00Z,2019-12-17T19:00:00Z
0.175,11.6,278,4.7,5.8,8.1,263,1.12,0.113,11.6,278,0.122,5.1,194,0.197,8.4,0.238,9.4,0.315,8,2019-12-17T19:05:00Z,2019-12-17T19:00:00Z,2019-12-17T19:00:00Z
0.175,11.6,278,4.7,5.8,8.1,263,1.12,0.113,11.6,278,0.122,5.1,194,0.197,8.4,0.238,9.4,0.315,8,2019-12-17T19:10:00Z,2019-12-17T19:00:00Z,2019-12-17T19:10:00Z
0.175,11.6,278,4.7,5.8,8.1,263,1.12,0.113,11.6,278,0.122,5.1,194,0.197,8.4,0.238,9.4,0.315,8,2019-12-17T19:15:00Z,2019-12-17T19:00:00Z,2019-12-17T19:10:00Z
0.181,8.5,134,5.6,6.6,8.7,159,1.1,0.121,8.5,134,0.121,6.7,142,0.197,8.5,0.248,9,0.368,8.5,2019-12-17T21:00:00Z,2019-12-17T21:00:00Z,2019-12-17T21:00:00Z
0.181,8.5,134,5.6,6.6,8.7,159,1.1,0.121,8.5,134,0.121,6.7,142,0.197,8.5,0.248,9,0.368,8.5,2019-12-17T21:05:00Z,2019-12-17T21:00:00Z,2019-12-17T21:00:00Z
0.181,8.5,134,5.6,6.6,8.7,159,1.1,0.121,8.5,134,0.121,6.7,142,0.197,8.5,0.248,9,0.368,8.5,2019-12-17T21:10:00Z,2019-12-17T21:00:00Z,2019-12-17T21:10:00Z
0.181,8.5,134,5.6,6.6,8.7,159,1.1,0.121,8.5,134,0.121,6.7,142,0.197,8.5,0.248,9,0.368,8.5,2019-12-17T21:15:00Z,2019-12-17T21:00:00Z,2019-12-17T21:10:00Z
0.186,6.7,112,4.5,5.1,6.4,175,1.08,0.082,8.5,132,0.161,6.7,112,0.2,6.7,0.248,7.1,0.367,7.5,2019-11-28T18:00:00Z,2019-11-28T18:00:00Z,2019-11-28T18:00:00Z
0.186,6.7,112,4.5,5.1,6.4,175,1.08,0.082,8.5,132,0.161,6.7,112,0.2,6.7,0.248,7.1,0.367,7.5,2019-11-28T18:05:00Z,2019-11-28T18:00:00Z,2019-11-28T18:00:00Z
0.186,6.7,112,4.5,5.1,6.4,175,1.08,0.082,8.5,132,0.161,6.7,112,0.2,6.7,0.248,7.1,0.367,7.5,2019-11-28T18:10:00Z,2019-11-28T18:00:00Z,2019-11-28T18:10:00Z
0.186,6.7,112,4.5,5.1,6.4,175,1.08,0.082,8.5,132,0.161,6.7,112,0.2,6.7,0.248,7.1,0.367,7.5,2019-11-28T18:15:00Z,2019-11-28T18:00:00Z,2019-11-28T18:10:00Z
0.188,8.5,180,3.7,4.3,6.4,185,1.09,0.102,8.5,180,0.153,4.4,224,0.192,5.8,0.234,6.6,0.319,7.5,2019-11-29T05:00:00Z,2019-11-29T05:00:00Z,2019-11-29T05:00:00Z
0.188,8.5,180,3.7,4.3,6.4,185,1.09,0.102,8.5,180,0.153,4.4,224,0.192,5.8,0.234,6.6,0.319,7.5,2019-11-29T05:05:00Z,2019-11-29T05:00:00Z,2019-11-29T05:00:00Z
0.188,8.5,180,3.7,4.3,6.4,185,1.09,0.102,8.5,180,0.153,4.4,224,0.192,5.8,0.234,6.6,0.319,7.5,2019-11-29T05:10:00Z,2019-11-29T05:00:00Z,2019-11-29T05:10:00Z
0.188,8.5,180,3.7,4.3,6.4,185,1.09,0.102,8.5,180,0.153,4.4,224,0.192,5.8,0.234,6.6,0.319,7.5,2019-11-29T05:15:00Z,2019-11-29T05:00:00Z,2019-11-29T05:10:00Z
0.192,9.8,216,6.1,6.8,8.4,222,1.04,0.133,9.8,216,0.126,6.7,320,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T00:00:00Z,2020-01-19T00:00:00Z,2020-01-19T00:00:00Z
0.192,9.8,216,6.1,6.8,8.4,222,1.04,0.133,9.8,216,0.126,6.7,320,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T00:05:00Z,2020-01-19T00:00:00Z,2020-01-19T00:00:00Z
0.192,9.8,216,6.1,6.8,8.4,222,1.04,0.133,9.8,216,0.126,6.7,320,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T00:10:00Z,2020-01-19T00:00:00Z,2020-01-19T00:10:00Z
0.192,9.8,216,6.1,6.8,8.4,222,1.04,0.133,9.8,216,0.126,6.7,320,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T00:15:00Z,2020-01-19T00:00:00Z,2020-01-19T00:10:00Z
0.196,14.2,166,5.4,6.4,8.7,189,1.09,0.12,14.2,166,0.144,6.7,154,0.212,8,0.264,8.3,0.413,6,2019-12-18T09:00:00Z,2019-12-18T09:00:00Z,2019-12-18T09:00:00Z
0.196,14.2,166,5.4,6.4,8.7,189,1.09,0.12,14.2,166,0.144,6.7,154,0.212,8,0.264,8.3,0.413,6,2019-12-18T09:05:00Z,2019-12-18T09:00:00Z,2019-12-18T09:00:00Z
0.196,14.2,166,5.4,6.4,8.7,189,1.09,0.12,14.2,166,0.144,6.7,154,0.212,8,0.264,8.3,0.413,6,2019-12-18T09:10:00Z,2019-12-18T09:00:00Z,2019-12-18T09:10:00Z
0.196,14.2,166,5.4,6.4,8.7,189,1.09,0.12,14.2,166,0.144,6.7,154,0.212,8,0.264,8.3,0.413,6,2019-12-18T09:15:00Z,2019-12-18T09:00:00Z,2019-12-18T09:10:00Z
0.199,11.6,292,3.8,4.3,5.9,249,1.06,0.09,11.6,292,0.174,4.7,200,0.198,5.4,0.243,5.3,0.394,5.5,2019-11-29T16:00:00Z,2019-11-29T16:00:00Z,2019-11-29T16:00:00Z
0.199,11.6,292,3.8,4.3,5.9,249,1.06,0.09,11.6,292,0.174,4.7,200,0.198,5.4,0.243,5.3,0.394,5.5,2019-11-29T16:05:00Z,2019-11-29T16:00:00Z,2019-11-29T16:00:00Z
0.199,11.6,292,3.8,4.3,5.9,249,1.06,0.09,11.6,292,0.174,4.7,200,0.198,5.4,0.243,5.3,0.394,5.5,2019-11-29T16:10:00Z,2019-11-29T16:00:00Z,2019-11-29T16:10:00Z
0.199,11.6,292,3.8,4.3,5.9,249,1.06,0.09,11.6,292,0.174,4.7,200,0.198,5.4,0.243,5.3,0.394,5.5,2019-11-29T16:15:00Z,2019-11-29T16:00:00Z,2019-11-29T16:10:00Z
0.201,5.1,192,4.2,4.7,5.8,186,1.05,0.083,9.8,208,0.177,5.1,192,0.192,5.8,0.228,5.6,0.303,7.5,2019-11-29T03:00:00Z,2019-11-29T03:00:00Z,2019-11-29T03:00:00Z
0.201,5.1,192,4.2,4.7,5.8,186,1.05,0.083,9.8,208,0.177,5.1,192,0.192,5.8,0.228,5.6,0.303,7.5,2019-11-29T03:05:00Z,2019-11-29T03:00:00Z,2019-11-29T03:00:00Z
0.201,5.1,192,4.2,4.7,5.8,186,1.05,0.083,9.8,208,0.177,5.1,192,0.192,5.8,0.228,5.6,0.303,7.5,2019-11-29T03:10:00Z,2019-11-29T03:00:00Z,2019-11-29T03:10:00Z
0.201,5.1,192,4.2,4.7,5.8,186,1.05,0.083,9.8,208,0.177,5.1,192,0.192,5.8,0.228,5.6,0.303,7.5,2019-11-29T03:15:00Z,2019-11-29T03:00:00Z,2019-11-29T03:10:00Z
0.203,8.5,300,7.2,7.8,8.9,249,1.04,0.146,8.5,300,0.117,6.1,164,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-18T21:00:00Z,2020-01-18T21:00:00Z,2020-01-18T21:00:00Z
0.203,8.5,300,7.2,7.8,8.9,249,1.04,0.146,8.5,300,0.117,6.1,164,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-18T21:05:00Z,2020-01-18T21:00:00Z,2020-01-18T21:00:00Z
0.203,8.5,300,7.2,7.8,8.9,249,1.04,0.146,8.5,300,0.117,6.1,164,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-18T21:10:00Z,2020-01-18T21:00:00Z,2020-01-18T21:10:00Z
0.203,8.5,300,7.2,7.8,8.9,249,1.04,0.146,8.5,300,0.117,6.1,164,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-18T21:15:00Z,2020-01-18T21:00:00Z,2020-01-18T21:10:00Z
0.203,8.5,296,6.8,7.6,9,279,1.03,0.157,8.5,296,0.11,6.7,116,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T05:00:00Z,2020-01-19T05:00:00Z,2020-01-19T05:00:00Z
0.203,8.5,296,6.8,7.6,9,279,1.03,0.157,8.5,296,0.11,6.7,116,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T05:05:00Z,2020-01-19T05:00:00Z,2020-01-19T05:00:00Z
0.203,8.5,296,6.8,7.6,9,279,1.03,0.157,8.5,296,0.11,6.7,116,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T05:10:00Z,2020-01-19T05:00:00Z,2020-01-19T05:10:00Z
0.203,8.5,296,6.8,7.6,9,279,1.03,0.157,8.5,296,0.11,6.7,116,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T05:15:00Z,2020-01-19T05:00:00Z,2020-01-19T05:10:00Z
0.209,14.2,204,4.8,5.7,8.4,220,1.1,0.136,14.2,204,0.155,6.1,184,0.228,8,0.285,8.2,0.361,8,2019-11-30T04:00:00Z,2019-11-30T04:00:00Z,2019-11-30T04:00:00Z
0.209,14.2,204,4.8,5.7,8.4,220,1.1,0.136,14.2,204,0.155,6.1,184,0.228,8,0.285,8.2,0.361,8,2019-11-30T04:05:00Z,2019-11-30T04:00:00Z,2019-11-30T04:00:00Z
0.209,14.2,204,4.8,5.7,8.4,220,1.1,0.136,14.2,204,0.155,6.1,184,0.228,8,0.285,8.2,0.361,8,2019-11-30T04:10:00Z,2019-11-30T04:00:00Z,2019-11-30T04:10:00Z
0.209,14.2,204,4.8,5.7,8.4,220,1.1,0.136,14.2,204,0.155,6.1,184,0.228,8,0.285,8.2,0.361,8,2019-11-30T04:15:00Z,2019-11-30T04:00:00Z,2019-11-30T04:10:00Z
0.209,14.2,138,5,6.1,8.7,179,1.1,0.141,14.2,138,0.144,6.7,186,0.214,8.3,0.267,9,0.361,8,2019-12-18T21:00:00Z,2019-12-18T21:00:00Z,2019-12-18T21:00:00Z
0.209,14.2,138,5,6.1,8.7,179,1.1,0.141,14.2,138,0.144,6.7,186,0.214,8.3,0.267,9,0.361,8,2019-12-18T21:05:00Z,2019-12-18T21:00:00Z,2019-12-18T21:00:00Z
0.209,14.2,138,5,6.1,8.7,179,1.1,0.141,14.2,138,0.144,6.7,186,0.214,8.3,0.267,9,0.361,8,2019-12-18T21:10:00Z,2019-12-18T21:00:00Z,2019-12-18T21:10:00Z
0.209,14.2,138,5,6.1,8.7,179,1.1,0.141,14.2,138,0.144,6.7,186,0.214,8.3,0.267,9,0.361,8,2019-12-18T21:15:00Z,2019-12-18T21:00:00Z,2019-12-18T21:10:00Z
0.214,9.8,312,5.6,6.3,7.9,256,1.04,0.147,9.8,312,0.145,5.1,228,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-18T23:00:00Z,2020-01-18T23:00:00Z,2020-01-18T23:00:00Z
0.214,9.8,312,5.6,6.3,7.9,256,1.04,0.147,9.8,312,0.145,5.1,228,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-18T23:05:00Z,2020-01-18T23:00:00Z,2020-01-18T23:00:00Z
0.214,9.8,312,5.6,6.3,7.9,256,1.04,0.147,9.8,312,0.145,5.1,228,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-18T23:10:00Z,2020-01-18T23:00:00Z,2020-01-18T23:10:00Z
0.214,9.8,312,5.6,6.3,7.9,256,1.04,0.147,9.8,312,0.145,5.1,228,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-18T23:15:00Z,2020-01-18T23:00:00Z,2020-01-18T23:10:00Z
0.215,11.6,252,4.6,5.5,7.8,236,1.1,0.135,11.6,252,0.164,6.1,188,0.235,8.2,0.279,8.9,0.329,12,2019-11-30T06:00:00Z,2019-11-30T06:00:00Z,2019-11-30T06:00:00Z
0.215,11.6,252,4.6,5.5,7.8,236,1.1,0.135,11.6,252,0.164,6.1,188,0.235,8.2,0.279,8.9,0.329,12,2019-11-30T06:05:00Z,2019-11-30T06:00:00Z,2019-11-30T06:00:00Z
0.215,11.6,252,4.6,5.5,7.8,236,1.1,0.135,11.6,252,0.164,6.1,188,0.235,8.2,0.279,8.9,0.329,12,2019-11-30T06:10:00Z,2019-11-30T06:00:00Z,2019-11-30T06:10:00Z
0.215,11.6,252,4.6,5.5,7.8,236,1.1,0.135,11.6,252,0.164,6.1,188,0.235,8.2,0.279,8.9,0.329,12,2019-11-30T06:15:00Z,2019-11-30T06:00:00Z,2019-11-30T06:10:00Z
0.215,11.6,294,6.1,7.6,10,278,1.1,0.171,11.6,294,0.11,5.1,282,0.249,10.6,0.31,10.7,0.414,10,2019-12-26T03:00:00Z,2019-12-26T03:00:00Z,2019-12-26T03:00:00Z
0.215,11.6,294,6.1,7.6,10,278,1.1,0.171,11.6,294,0.11,5.1,282,0.249,10.6,0.31,10.7,0.414,10,2019-12-26T03:05:00Z,2019-12-26T03:00:00Z,2019-12-26T03:00:00Z
0.215,11.6,294,6.1,7.6,10,278,1.1,0.171,11.6,294,0.11,5.1,282,0.249,10.6,0.31,10.7,0.414,10,2019-12-26T03:10:00Z,2019-12-26T03:00:00Z,2019-12-26T03:10:00Z
0.215,11.6,294,6.1,7.6,10,278,1.1,0.171,11.6,294,0.11,5.1,282,0.249,10.6,0.31,10.7,0.414,10,2019-12-26T03:15:00Z,2019-12-26T03:00:00Z,2019-12-26T03:10:00Z
0.217,11.6,272,6,7.2,9.6,281,1.09,0.162,11.6,272,0.138,6.1,180,0.217,9.9,0.281,10.4,0.314,11.5,2019-11-29T02:00:00Z,2019-11-29T02:00:00Z,2019-11-29T02:00:00Z
0.217,11.6,272,6,7.2,9.6,281,1.09,0.162,11.6,272,0.138,6.1,180,0.217,9.9,0.281,10.4,0.314,11.5,2019-11-29T02:05:00Z,2019-11-29T02:00:00Z,2019-11-29T02:00:00Z
0.217,11.6,272,6,7.2,9.6,281,1.09,0.162,11.6,272,0.138,6.1,180,0.217,9.9,0.281,10.4,0.314,11.5,2019-11-29T02:10:00Z,2019-11-29T02:00:00Z,2019-11-29T02:10:00Z
0.217,11.6,272,6,7.2,9.6,281,1.09,0.162,11.6,272,0.138,6.1,180,0.217,9.9,0.281,10.4,0.314,11.5,2019-11-29T02:15:00Z,2019-11-29T02:00:00Z,2019-11-29T02:10:00Z
0.217,9.8,140,4.9,5.6,7.7,156,1.09,0.128,9.8,176,0.168,5.6,260,0.217,7.1,0.256,7.2,0.352,8.5,2019-11-29T19:00:00Z,2019-11-29T19:00:00Z,2019-11-29T19:00:00Z
0.217,9.8,140,4.9,5.6,7.7,156,1.09,0.128,9.8,176,0.168,5.6,260,0.217,7.1,0.256,7.2,0.352,8.5,2019-11-29T19:05:00Z,2019-11-29T19:00:00Z,2019-11-29T19:00:00Z
0.217,9.8,140,4.9,5.6,7.7,156,1.09,0.128,9.8,176,0.168,5.6,260,0.217,7.1,0.256,7.2,0.352,8.5,2019-11-29T19:10:00Z,2019-11-29T19:00:00Z,2019-11-29T19:10:00Z
0.217,9.8,140,4.9,5.6,7.7,156,1.09,0.128,9.8,176,0.168,5.6,260,0.217,7.1,0.256,7.2,0.352,8.5,2019-11-29T19:15:00Z,2019-11-29T19:00:00Z,2019-11-29T19:10:00Z
0.218,11.6,188,4.4,5.1,7.3,203,1.11,0.11,11.6,188,0.174,6.7,272,0.235,7.3,0.286,7.2,0.359,6,2019-12-01T20:00:00Z,2019-12-01T20:00:00Z,2019-12-01T20:00:00Z
0.218,11.6,188,4.4,5.1,7.3,203,1.11,0.11,11.6,188,0.174,6.7,272,0.235,7.3,0.286,7.2,0.359,6,2019-12-01T20:05:00Z,2019-12-01T20:00:00Z,2019-12-01T20:00:00Z
0.218,11.6,188,4.4,5.1,7.3,203,1.11,0.11,11.6,188,0.174,6.7,272,0.235,7.3,0.286,7.2,0.359,6,2019-12-01T20:10:00Z,2019-12-01T20:00:00Z,2019-12-01T20:10:00Z
0.218,11.6,188,4.4,5.1,7.3,203,1.11,0.11,11.6,188,0.174,6.7,272,0.235,7.3,0.286,7.2,0.359,6,2019-12-01T20:15:00Z,2019-12-01T20:00:00Z,2019-12-01T20:10:00Z
0.219,6.1,304,4.2,4.9,6.6,270,1.15,0.107,11.6,252,0.185,6.1,304,0.217,6.3,0.26,7,0.325,8.5,2019-12-01T06:00:00Z,2019-12-01T06:00:00Z,2019-12-01T06:00:00Z
0.219,6.1,304,4.2,4.9,6.6,270,1.15,0.107,11.6,252,0.185,6.1,304,0.217,6.3,0.26,7,0.325,8.5,2019-12-01T06:05:00Z,2019-12-01T06:00:00Z,2019-12-01T06:00:00Z
0.219,6.1,304,4.2,4.9,6.6,270,1.15,0.107,11.6,252,0.185,6.1,304,0.217,6.3,0.26,7,0.325,8.5,2019-12-01T06:10:00Z,2019-12-01T06:00:00Z,2019-12-01T06:10:00Z
0.219,6.1,304,4.2,4.9,6.6,270,1.15,0.107,11.6,252,0.185,6.1,304,0.217,6.3,0.26,7,0.325,8.5,2019-12-01T06:15:00Z,2019-12-01T06:00:00Z,2019-12-01T06:10:00Z
0.222,8.5,204,5.7,6.3,7.6,211,1.06,0.138,8.5,204,0.16,6.1,300,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T01:00:00Z,2020-01-19T01:00:00Z,2020-01-19T01:00:00Z
0.222,8.5,204,5.7,6.3,7.6,211,1.06,0.138,8.5,204,0.16,6.1,300,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T01:05:00Z,2020-01-19T01:00:00Z,2020-01-19T01:00:00Z
0.222,8.5,204,5.7,6.3,7.6,211,1.06,0.138,8.5,204,0.16,6.1,300,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T01:10:00Z,2020-01-19T01:00:00Z,2020-01-19T01:10:00Z
0.222,8.5,204,5.7,6.3,7.6,211,1.06,0.138,8.5,204,0.16,6.1,300,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T01:15:00Z,2020-01-19T01:00:00Z,2020-01-19T01:10:00Z
0.228,11.6,296,4,4.7,6.7,261,1.12,0.12,11.6,296,0.187,5.1,168,0.229,6.6,0.271,7.3,0.31,8.5,2019-11-30T05:00:00Z,2019-11-30T05:00:00Z,2019-11-30T05:00:00Z
0.228,11.6,296,4,4.7,6.7,261,1.12,0.12,11.6,296,0.187,5.1,168,0.229,6.6,0.271,7.3,0.31,8.5,2019-11-30T05:05:00Z,2019-11-30T05:00:00Z,2019-11-30T05:00:00Z
0.228,11.6,296,4,4.7,6.7,261,1.12,0.12,11.6,296,0.187,5.1,168,0.229,6.6,0.271,7.3,0.31,8.5,2019-11-30T05:10:00Z,2019-11-30T05:00:00Z,2019-11-30T05:10:00Z
0.228,11.6,296,4,4.7,6.7,261,1.12,0.12,11.6,296,0.187,5.1,168,0.229,6.6,0.271,7.3,0.31,8.5,2019-11-30T05:15:00Z,2019-11-30T05:00:00Z,2019-11-30T05:10:00Z
0.228,8.5,150,5.7,6.6,8.5,174,1.1,0.151,8.5,150,0.154,5.6,170,0.241,8.7,0.294,9,0.381,9.5,2019-12-17T22:00:00Z,2019-12-17T22:00:00Z,2019-12-17T22:00:00Z
0.228,8.5,150,5.7,6.6,8.5,174,1.1,0.151,8.5,150,0.154,5.6,170,0.241,8.7,0.294,9,0.381,9.5,2019-12-17T22:05:00Z,2019-12-17T22:00:00Z,2019-12-17T22:00:00Z
0.228,8.5,150,5.7,6.6,8.5,174,1.1,0.151,8.5,150,0.154,5.6,170,0.241,8.7,0.294,9,0.381,9.5,2019-12-17T22:10:00Z,2019-12-17T22:00:00Z,2019-12-17T22:10:00Z
0.228,8.5,150,5.7,6.6,8.5,174,1.1,0.151,8.5,150,0.154,5.6,170,0.241,8.7,0.294,9,0.381,9.5,2019-12-17T22:15:00Z,2019-12-17T22:00:00Z,2019-12-17T22:10:00Z
0.229,5.1,200,4.9,5.5,7,210,1.09,0.096,11.6,288,0.193,5.1,200,0.236,6.3,0.292,6.4,0.395,5.5,2019-11-29T01:00:00Z,2019-11-29T01:00:00Z,2019-11-29T01:00:00Z
0.229,5.1,200,4.9,5.5,7,210,1.09,0.096,11.6,288,0.193,5.1,200,0.236,6.3,0.292,6.4,0.395,5.5,2019-11-29T01:05:00Z,2019-11-29T01:00:00Z,2019-11-29T01:00:00Z
0.229,5.1,200,4.9,5.5,7,210,1.09,0.096,11.6,288,0.193,5.1,200,0.236,6.3,0.292,6.4,0.395,5.5,2019-11-29T01:10:00Z,2019-11-29T01:00:00Z,2019-11-29T01:10:00Z
0.229,5.1,200,4.9,5.5,7,210,1.09,0.096,11.6,288,0.193,5.1,200,0.236,6.3,0.292,6.4,0.395,5.5,2019-11-29T01:15:00Z,2019-11-29T01:00:00Z,2019-11-29T01:10:00Z
0.229,8.5,220,6.5,7.3,8.6,225,1.07,0.162,8.5,220,0.13,6.7,344,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T03:00:00Z,2020-01-19T03:00:00Z,2020-01-19T03:00:00Z
0.229,8.5,220,6.5,7.3,8.6,225,1.07,0.162,8.5,220,0.13,6.7,344,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T03:05:00Z,2020-01-19T03:00:00Z,2020-01-19T03:00:00Z
0.229,8.5,220,6.5,7.3,8.6,225,1.07,0.162,8.5,220,0.13,6.7,344,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T03:10:00Z,2020-01-19T03:00:00Z,2020-01-19T03:10:00Z
0.229,8.5,220,6.5,7.3,8.6,225,1.07,0.162,8.5,220,0.13,6.7,344,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-19T03:15:00Z,2020-01-19T03:00:00Z,2020-01-19T03:10:00Z
0.23,11.6,96,4.6,5.7,8.4,205,1.11,0.149,11.6,96,0.16,6.7,156,0.238,7.6,0.291,8.6,0.389,7.5,2019-11-29T07:00:00Z,2019-11-29T07:00:00Z,2019-11-29T07:00:00Z
0.23,11.6,96,4.6,5.7,8.4,205,1.11,0.149,11.6,96,0.16,6.7,156,0.238,7.6,0.291,8.6,0.389,7.5,2019-11-29T07:05:00Z,2019-11-29T07:00:00Z,2019-11-29T07:00:00Z
0.23,11.6,96,4.6,5.7,8.4,205,1.11,0.149,11.6,96,0.16,6.7,156,0.238,7.6,0.291,8.6,0.389,7.5,2019-11-29T07:10:00Z,2019-11-29T07:00:00Z,2019-11-29T07:10:00Z
0.23,11.6,96,4.6,5.7,8.4,205,1.11,0.149,11.6,96,0.16,6.7,156,0.238,7.6,0.291,8.6,0.389,7.5,2019-11-29T07:15:00Z,2019-11-29T07:00:00Z,2019-11-29T07:10:00Z
0.232,9.8,298,5.5,6.6,8.6,288,1.1,0.166,9.8,298,0.142,6.7,178,0.243,8.4,0.288,8.9,0.348,8,2019-12-17T20:00:00Z,2019-12-17T20:00:00Z,2019-12-17T20:00:00Z
0.232,9.8,298,5.5,6.6,8.6,288,1.1,0.166,9.8,298,0.142,6.7,178,0.243,8.4,0.288,8.9,0.348,8,2019-12-17T20:05:00Z,2019-12-17T20:00:00Z,2019-12-17T20:00:00Z
0.232,9.8,298,5.5,6.6,8.6,288,1.1,0.166,9.8,298,0.142,6.7,178,0.243,8.4,0.288,8.9,0.348,8,2019-12-17T20:10:00Z,2019-12-17T20:00:00Z,2019-12-17T20:10:00Z
0.232,9.8,298,5.5,6.6,8.6,288,1.1,0.166,9.8,298,0.142,6.7,178,0.243,8.4,0.288,8.9,0.348,8,2019-12-17T20:15:00Z,2019-12-17T20:00:00Z,2019-12-17T20:10:00Z
0.235,11.6,240,6.5,7.5,9.2,258,1.05,0.182,11.6,240,0.131,6.7,252,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-18T22:00:00Z,2020-01-18T22:00:00Z,2020-01-18T22:00:00Z
0.235,11.6,240,6.5,7.5,9.2,258,1.05,0.182,11.6,240,0.131,6.7,252,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-18T22:05:00Z,2020-01-18T22:00:00Z,2020-01-18T22:00:00Z
0.235,11.6,240,6.5,7.5,9.2,258,1.05,0.182,11.6,240,0.131,6.7,252,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-18T22:10:00Z,2020-01-18T22:00:00Z,2020-01-18T22:10:00Z
0.235,11.6,240,6.5,7.5,9.2,258,1.05,0.182,11.6,240,0.131,6.7,252,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-18T22:15:00Z,2020-01-18T22:00:00Z,2020-01-18T22:10:00Z
