Hs,Tp,Dp,Tz,T01,T-1,Dm,S0,HsSwell,TpSwell,DpSwell,HsSea,TpSea,DpSea,H13,T13,H10,T10,Hmax,Tmax,datetime,hourly,tenmin
1.996,14.2,266,5.3,7,11.1,287,1.07,1.592,14.2,266,1.153,4.7,282,1.845,8.4,2.409,11.3,3.147,13.5,2020-01-20T21:15:00Z,2020-01-20T21:00:00Z,2020-01-20T21:10:00Z
2.001,14.2,254,7,9.1,13.4,258,1.03,1.725,14.2,254,0.939,5.1,258,2.057,12.4,2.624,13.2,3.118,14,2020-01-03T12:00:00Z,2020-01-03T12:00:00Z,2020-01-03T12:00:00Z
2.001,14.2,254,7,9.1,13.4,258,1.03,1.725,14.2,254,0.939,5.1,258,2.057,12.4,2.624,13.2,3.118,14,2020-01-03T12:05:00Z,2020-01-03T12:00:00Z,2020-01-03T12:00:00Z
2.001,14.2,254,7,9.1,13.4,258,1.03,1.725,14.2,254,0.939,5.1,258,2.057,12.4,2.624,13.2,3.118,14,2020-01-03T12:10:00Z,2020-01-03T12:00:00Z,2020-01-03T12:10:00Z
2.001,14.2,254,7,9.1,13.4,258,1.03,1.725,14.2,254,0.939,5.1,258,2.057,12.4,2.624,13.2,3.118,14,2020-01-03T12:15:00Z,2020-01-03T12:00:00Z,2020-01-03T12:10:00Z
2.006,14.2,186,7.3,10,14.7,234,1.06,1.788,14.2,186,0.851,5.6,259,2.051,15.4,2.515,16,3.226,15.5,2020-01-08T20:00:00Z,2020-01-08T20:00:00Z,2020-01-08T20:00:00Z
2.006,14.2,186,7.3,10,14.7,234,1.06,1.788,14.2,186,0.851,5.6,259,2.051,15.4,2.515,16,3.226,15.5,2020-01-08T20:05:00Z,2020-01-08T20:00:00Z,2020-01-08T20:00:00Z
2.006,14.2,186,7.3,10,14.7,234,1.06,1.788,14.2,186,0.851,5.6,259,2.051,15.4,2.515,16,3.226,15.5,2020-01-08T20:10:00Z,2020-01-08T20:00:00Z,2020-01-08T20:10:00Z
2.006,14.2,186,7.3,10,14.7,234,1.06,1.788,14.2,186,0.851,5.6,259,2.051,15.4,2.515,16,3.226,15.5,2020-01-08T20:15:00Z,2020-01-08T20:00:00Z,2020-01-08T20:10:00Z
2.006,18.3,288,14.4,16,17.6,298,1.04,1.976,18.3,288,0.278,5.6,320,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-14T15:00:00Z,2020-01-14T15:00:00Z,2020-01-14T15:00:00Z
2.006,18.3,288,14.4,16,17.6,298,1.04,1.976,18.3,288,0.278,5.6,320,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-14T15:05:00Z,2020-01-14T15:00:00Z,2020-01-14T15:00:00Z
2.006,18.3,288,14.4,16,17.6,298,1.04,1.976,18.3,288,0.278,5.6,320,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-14T15:10:00Z,2020-01-14T15:00:00Z,2020-01-14T15:10:00Z
2.006,18.3,288,14.4,16,17.6,298,1.04,1.976,18.3,288,0.278,5.6,320,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-14T15:15:00Z,2020-01-14T15:00:00Z,2020-01-14T15:10:00Z
2.009,14.2,259,6.2,7.8,11.3,263,1.04,1.622,14.2,259,1.133,6.1,270,1.861,11.3,2.227,12.5,2.46,12,2020-01-06T14:00:00Z,2020-01-06T14:00:00Z,2020-01-06T14:00:00Z
2.009,14.2,259,6.2,7.8,11.3,263,1.04,1.622,14.2,259,1.133,6.1,270,1.861,11.3,2.227,12.5,2.46,12,2020-01-06T14:05:00Z,2020-01-06T14:00:00Z,2020-01-06T14:00:00Z
2.009,14.2,259,6.2,7.8,11.3,263,1.04,1.622,14.2,259,1.133,6.1,270,1.861,11.3,2.227,12.5,2.46,12,2020-01-06T14:10:00Z,2020-01-06T14:00:00Z,2020-01-06T14:10:00Z
2.009,14.2,259,6.2,7.8,11.3,263,1.04,1.622,14.2,259,1.133,6.1,270,1.861,11.3,2.227,12.5,2.46,12,2020-01-06T14:15:00Z,2020-01-06T14:00:00Z,2020-01-06T14:10:00Z
