time,depth,Sv
2019-10-07 21:35:45,16.335,-95.90640882498502
2019-10-07 21:35:45,16.5,-93.8957776135079
2019-10-07 21:35:45,16.665000000000003,-91.80119418665335
2019-10-07 21:35:45,16.830000000000002,-92.18243120285027
2019-10-07 21:35:45,16.995,-91.82929815577764
2019-10-07 21:35:45,17.16,-90.94713048752526
2019-10-07 21:35:45,17.325000000000003,-90.72631138665217
2019-10-07 21:35:45,17.490000000000002,-89.73427902198273
2019-10-07 21:35:45,17.655,-89.8612319657253
2019-10-07 21:35:45,17.82,-89.33430868740352
2019-10-07 21:35:45,17.985000000000003,-86.73689656076675
2019-10-07 21:35:45,18.150000000000002,-86.78795215424195
2019-10-07 21:35:45,18.315,-87.31183588430356
2019-10-07 21:35:45,18.48,-84.44833632244082
